parameter,config_path,value,unit,source_class,source_reference,use_status,uncertainty_or_limitation
length_m,physical_parameters.length_m,100,m,publication_reported,"Guo et al. 2024 main buried-pipe case; local 论文说明_water-16-02668.md §4.2",frozen,"Published value"
inner_radius_m,physical_parameters.inner_radius_m,0.5,m,research_assumption,"Absolute radius is not reported; selected to preserve the published e/R=0.1 ratio",frozen,"Not a measured or uniquely identified radius"
wall_thickness_m,physical_parameters.wall_thickness_m,0.05,m,derived,"e=(e/R)R with published e/R=0.1 and assumed R=0.5 m",frozen,"Inherits uncertainty of assumed absolute radius"
pipe_E_pa,physical_parameters.pipe_E_pa,2.0e11,Pa,publication_reported,"Guo et al. 2024 main buried-pipe case",frozen,"Material treated as linear elastic"
pipe_nu,physical_parameters.pipe_nu,0.3,1,publication_reported,"Guo et al. 2024 main buried-pipe case",frozen,"Constant Poisson ratio"
pipe_density_kg_m3,physical_parameters.pipe_density_kg_m3,7800,kg/m3,publication_reported,"Guo et al. 2024 main buried-pipe case",frozen,"Constant density"
water_density_kg_m3,physical_parameters.water_density_kg_m3,1000,kg/m3,research_assumption,"Reference water property used by the existing solver",frozen,"Temperature dependence neglected"
water_bulk_modulus_pa,physical_parameters.water_bulk_modulus_pa,2.2e9,Pa,research_assumption,"Reference water property used by the existing solver",frozen,"Dissolved gas and temperature dependence neglected"
soil_E_pa,physical_parameters.soil_E_pa,2.0e9,Pa,derived,"Research baseline selects Es/E=1e-2 and uses E=2.0e11 Pa",frozen,"Effective homogeneous elastic modulus; not a site measurement"
gravity_m_s2,physical_parameters.gravity_m_s2,9.80665,m/s2,physical_constant,"Standard gravity",frozen,"Used only to convert head difference to P0"
head_difference_m,physical_parameters.head_difference_m,4,m,publication_reported,"Guo et al. 2024 main buried-pipe case",frozen,"Reservoir pressure treated as constant"
initial_velocity_m_s,physical_parameters.initial_velocity_m_s,0.06,m/s,research_assumption,"Explicit synthetic baseline value from the reproduction setup",frozen,"Not published for the target case; must not be presented as a measured value"
valve_mass_kg,physical_parameters.valve_mass_kg,100,kg,publication_reported,"Guo et al. 2024 reference valve mass Mv0",frozen,"Lumped end mass model"
valve_close_time_s,physical_parameters.valve_close_time_s,0.03,s,research_assumption,"Explicit half-cosine closure used by the reproducible baseline",frozen,"Not the complete K/n valve-opening law of the paper"
t_final_s,physical_parameters.t_final_s,0.8,s,numerical_setting,"Analysis window selected to cover several wave cycles",frozen,"Does not change governing physics"
coefficient_model,physical_parameters.coefficient_model,printed_equations,1,model_choice,"Coefficients assembled from the printed four-equation formulas",frozen,"Kept separate from the paper_reported curve-fit branch"
initial_stress_mode,initial_conditions.initial_stress_mode,equilibrium,1,model_choice,"At*sigma_z0=Af*P0",frozen,"Alternative zero-stress start is a separate case"
friction_model,model_definition.friction_model,none,1,model_choice,"Linear inviscid baseline",frozen,"Unsteady and quasi-steady friction excluded from WP0 baseline"
n_cells,reference_solver.n_cells,640,1,numerical_setting,"Chosen from the existing Figure 13 grid-refinement evidence",frozen,"Must be rechecked for more severe parameter regimes"
cfl,reference_solver.cfl,0.9,1,numerical_setting,"Stable characteristic reference setting",frozen,"Numerical setting"
seed,reproducibility.seed,29,1,numerical_setting,"Current characteristic-causal PINN default seed",frozen,"Formal results require at least five independent runs"
